VV_L,VH_L,projectedInc,name,type_1st_h,type_2nd_h,equai,feas_class,image_date_time_utc,sensor,count,inc_class,image_date,year,image_date_time_ksa
0.11064633563935417,0.021854240563718215,42.9335795847004,E14,wheat,potato,0.0,yes,2014-10-18 15:31:00,S1A,5791,high,2014-10-18,2014,2014-10-18 18:31:00
0.10671410535309345,0.01980327976376313,43.1723429744994,C54,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5843,high,2014-10-18,2014,2014-10-18 18:31:00
0.09541052889081829,0.01677208677445615,43.25755686352753,103C,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5012,high,2014-10-18,2014,2014-10-18 18:31:00
0.035917621073201685,0.003275069185650208,43.18717359218892,C59,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,6606,high,2014-10-18,2014,2014-10-18 18:31:00
0.09205202291940005,0.017663216044884602,43.23019441793893,C43,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5240,high,2014-10-18,2014,2014-10-18 18:31:00
0.0650997380383081,0.010968901103753087,42.53200987841945,E53,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4277,high,2014-10-18,2014,2014-10-18 18:31:00
0.09630944299855437,0.017148336156705867,43.132312631420845,C48,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,6658,high,2014-10-18,2014,2014-10-18 18:31:00
0.0953490348514773,0.01913902928360119,43.34352921978191,102C,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,6511,high,2014-10-18,2014,2014-10-18 18:31:00
0.02286879536342306,0.0022676290528007305,42.45783585711512,E63,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,5151,high,2014-10-18,2014,2014-10-18 18:31:00
0.09412318876951216,0.017926900303408065,43.317544459644324,101C,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5117,high,2014-10-18,2014,2014-10-18 18:31:00
0.015040961968942227,0.001842218741273629,42.69020858647226,E34,corn,corn,1.0,yes,2014-10-18 15:31:00,S1A,4938,high,2014-10-18,2014,2014-10-18 18:31:00
0.0520023566162564,0.004835758173709919,43.19012453445065,C42,onion,onion,1.0,yes,2014-10-18 15:31:00,S1A,5370,high,2014-10-18,2014,2014-10-18 18:31:00
0.030105976143268622,0.002525950552607657,43.09981424825175,C58,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,5148,high,2014-10-18,2014,2014-10-18 18:31:00
0.04338511946278523,0.004267611564016857,42.50877302322853,E54,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4262,high,2014-10-18,2014,2014-10-18 18:31:00
0.04839656071291877,0.010386893705721661,42.74751140730067,E25,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5205,high,2014-10-18,2014,2014-10-18 18:31:00
0.06707590147944993,0.014170451374470476,43.046141069221264,C47,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4854,high,2014-10-18,2014,2014-10-18 18:31:00
0.028339018710143365,0.0025267996091151265,42.44808748082087,E70,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,5214,high,2014-10-18,2014,2014-10-18 18:31:00
0.10706279663403905,0.02255773307191459,42.83930262846318,E6,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,4223,high,2014-10-18,2014,2014-10-18 18:31:00
0.09382558740994346,0.018825057508416676,43.34110530155642,100C,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5140,high,2014-10-18,2014,2014-10-18 18:31:00
0.018193860240626667,0.0017921346969685817,43.2302849474646,C36,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,6567,high,2014-10-18,2014,2014-10-18 18:31:00
0.10414668239808211,0.020223017064871257,42.72396636468774,E35,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,3891,high,2014-10-18,2014,2014-10-18 18:31:00
0.05841101705314669,0.01256722157625789,42.8624379188607,E16,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,4178,high,2014-10-18,2014,2014-10-18 18:31:00
0.04126596847451401,0.010918129201823504,43.03957391500904,C57,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,5530,high,2014-10-18,2014,2014-10-18 18:31:00
0.031243736691539563,0.002873994747909111,42.553091397849464,E69,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4278,high,2014-10-18,2014,2014-10-18 18:31:00
0.05617080067580167,0.008013731134184437,43.036066435553536,C62,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,4399,high,2014-10-18,2014,2014-10-18 18:31:00
0.06000395267898342,0.0066082152232618775,42.825531440936864,E26,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,3928,high,2014-10-18,2014,2014-10-18 18:31:00
0.09504980765947728,0.016552875056711172,43.10995185591698,C46,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5011,high,2014-10-18,2014,2014-10-18 18:31:00
0.035015616447302944,0.0028546810851034026,42.4516321656051,E77,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4082,high,2014-10-18,2014,2014-10-18 18:31:00
0.05228093564123804,0.011151909570491938,42.80821376459144,E7,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4626,high,2014-10-18,2014,2014-10-18 18:31:00
0.011793516269140165,0.0016055797940850679,43.23455443904594,C35,empty,potato,1.0,yes,2014-10-18 15:31:00,S1A,3396,high,2014-10-18,2014,2014-10-18 18:31:00
0.11064511855155522,0.022642791795409904,42.56121475685463,E36,wheat,empty,1.0,yes,2014-10-18 15:31:00,S1A,3866,high,2014-10-18,2014,2014-10-18 18:31:00
0.06335998215352404,0.012475287453910343,43.02456699980594,C51,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,5153,high,2014-10-18,2014,2014-10-18 18:31:00
0.03984618262161592,0.010115324886815404,42.35149164530757,E68,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,5072,high,2014-10-18,2014,2014-10-18 18:31:00
0.054994208413131976,0.012833694184952707,42.72903838753127,E17,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5197,high,2014-10-18,2014,2014-10-18 18:31:00
0.06412586187705016,0.013989124542627579,42.83366511418269,C56,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4992,high,2014-10-18,2014,2014-10-18 18:31:00
0.01921085396198311,0.0018070271095915061,43.45420194592989,C99,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,6732,high,2014-10-18,2014,2014-10-18 18:31:00
0.10710649535405756,0.01978269096369811,43.10375269562539,C40,wheat,empty,1.0,yes,2014-10-18 15:31:00,S1A,4869,high,2014-10-18,2014,2014-10-18 18:31:00
0.02898023284050367,0.0026806447847212184,42.531280428432325,E76,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4108,high,2014-10-18,2014,2014-10-18 18:31:00
0.05141388449141277,0.011936722319409843,42.68034397834029,E27,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,3832,high,2014-10-18,2014,2014-10-18 18:31:00
0.060044959418007846,0.01242773699912296,42.93480578935396,C77,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4396,high,2014-10-18,2014,2014-10-18 18:31:00
0.03627571552797926,0.0030990890205035756,42.42208514099783,E83,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4610,high,2014-10-18,2014,2014-10-18 18:31:00
0.039338718983913196,0.009995331343879003,42.67369410177332,E8,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,3891,high,2014-10-18,2014,2014-10-18 18:31:00
0.06076892921489575,0.01224643166586115,43.115186961628815,C50,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,6385,high,2014-10-18,2014,2014-10-18 18:31:00
0.05883145258369959,0.01370155330527778,42.774697841261634,E67,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,3868,high,2014-10-18,2014,2014-10-18 18:31:00
0.05866351733727986,0.014204932814642066,42.72232670134983,E18,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,3556,high,2014-10-18,2014,2014-10-18 18:31:00
0.10457170915176398,0.018672210491256207,42.84049352356837,C78,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5134,high,2014-10-18,2014,2014-10-18 18:31:00
0.0811371552722533,0.012774278583696222,43.26486711802749,C98,empty,corn,1.0,yes,2014-10-18 15:31:00,S1A,4948,high,2014-10-18,2014,2014-10-18 18:31:00
0.10925166873075585,0.019264384873291306,43.128656386571315,C44,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5034,high,2014-10-18,2014,2014-10-18 18:31:00
0.05194988340466545,0.01209980794664334,42.54934167537898,E66,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,3826,high,2014-10-18,2014,2014-10-18 18:31:00
0.03816006451668824,0.008520394951634152,42.85054240631164,E9,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,5070,high,2014-10-18,2014,2014-10-18 18:31:00
0.03612636729469676,0.0028923089103824354,42.378831641053786,E84,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,4555,high,2014-10-18,2014,2014-10-18 18:31:00
0.055299735363618825,0.011460450318482545,42.88699115782449,C75,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,5994,high,2014-10-18,2014,2014-10-18 18:31:00
0.05691182758921758,0.013071921830479673,42.505883221740845,E74,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5078,high,2014-10-18,2014,2014-10-18 18:31:00
0.021304915638898643,0.0023851910423250233,43.48389513108614,C119,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,6675,high,2014-10-18,2014,2014-10-18 18:31:00
0.10453324793798131,0.01948484238199207,43.02731988289206,C33,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,3928,high,2014-10-18,2014,2014-10-18 18:31:00
0.05412449153764297,0.012603093408317358,42.647046399792046,E65,wheat,empty,1.0,yes,2014-10-18 15:31:00,S1A,3847,high,2014-10-18,2014,2014-10-18 18:31:00
0.06672361675506482,0.015391803784767897,42.926621780670175,C71,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,3611,high,2014-10-18,2014,2014-10-18 18:31:00
0.05004240097262416,0.00982812307413342,43.26528659447349,C97,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,5356,high,2014-10-18,2014,2014-10-18 18:31:00
0.056866328085876924,0.013573155288518815,42.79489209097958,E73,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,3869,high,2014-10-18,2014,2014-10-18 18:31:00
0.10299401399513881,0.018453688036006347,43.14830644710356,C74,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,4471,high,2014-10-18,2014,2014-10-18 18:31:00
0.04356470183124692,0.006747936639260119,42.47215797244095,E81,empty,onion,1.0,yes,2014-10-18 15:31:00,S1A,2540,high,2014-10-18,2014,2014-10-18 18:31:00
0.06772192351672114,0.008737492074771803,42.79875637755102,E64,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,3920,high,2014-10-18,2014,2014-10-18 18:31:00
0.029670684002198192,0.0025743207460120605,43.064453422053234,C118,alfalfa,alfalfa,1.0,yes,2014-10-18 15:31:00,S1A,6575,high,2014-10-18,2014,2014-10-18 18:31:00
0.05789853308562931,0.013253632193721493,43.23666481755424,C32,wheat,wheat,1.0,yes,2014-10-18 15:31:00,S1A,5070,high,2014-10-18,2014,2014-10-18 18:31:00
